HRmean,HRmax,HRmin,HalfHourBeforeSleep,DeepSleepBegin,LightSleep,DeepSleep
69,106,48,2021-11-06T23:24:00.000Z,2021-11-07T00:08:00.000Z,424,131
67,106,53,2021-11-08T22:53:00.000Z,2021-11-08T23:23:00.000Z,266,216
83,101,72,2021-11-10T21:03:00.000Z,2021-11-10T22:00:00.000Z,89,49
69,92,55,2021-11-10T23:21:00.000Z,2021-11-10T23:51:00.000Z,193,199
78,104,71,2021-11-11T23:41:00.000Z,2021-11-12T00:20:00.000Z,321,210
79,100,70,2021-11-12T22:45:00.000Z,2021-11-13T00:50:00.000Z,393,142
70,75,69,2021-11-15T00:26:00.000Z,2021-11-15T01:05:00.000Z,232,157
63,74,55,2021-11-16T23:23:00.000Z,2021-11-17T00:03:00.000Z,396,210
64,78,59,2021-11-17T23:28:00.000Z,2021-11-18T00:09:00.000Z,264,182
80,117,71,2021-11-18T23:18:00.000Z,2021-11-19T00:04:00.000Z,334,206
68,101,55,2021-11-19T23:18:00.000Z,2021-11-20T00:20:00.000Z,380,194
75,116,58,2021-11-20T23:34:00.000Z,2021-11-21T00:40:00.000Z,344,177
64,81,55,2021-11-21T22:59:00.000Z,2021-11-22T00:41:00.000Z,302,174
79,86,75,2021-11-24T01:20:00.000Z,2021-11-24T04:11:00.000Z,221,19
78,94,52,2021-11-24T23:20:00.000Z,2021-11-24T23:50:00.000Z,274,268
58,94,54,2021-11-25T23:09:00.000Z,2021-11-25T23:39:00.000Z,306,218
84,113,64,2021-11-26T23:29:00.000Z,2021-11-27T00:08:00.000Z,350,153
84,124,58,2021-11-27T23:26:00.000Z,2021-11-28T00:22:00.000Z,365,194
73,86,62,2021-11-28T23:03:00.000Z,2021-11-29T00:44:00.000Z,326,139
87,105,70,2021-11-29T22:22:00.000Z,2021-11-30T00:41:00.000Z,360,146
53,59,48,2021-11-30T23:20:00.000Z,2021-11-30T23:50:00.000Z,334,259
63,74,56,2021-12-01T23:02:00.000Z,2021-12-02T00:52:00.000Z,327,54
55,104,48,2021-12-02T23:26:00.000Z,2021-12-03T00:05:00.000Z,326,214
71,94,56,2021-12-04T00:01:00.000Z,2021-12-04T00:41:00.000Z,253,206
72,92,63,2021-12-05T22:23:00.000Z,2021-12-06T01:05:00.000Z,378,170
69,81,54,2021-12-06T23:06:00.000Z,2021-12-06T23:36:00.000Z,372,153
61,75,48,2021-12-07T23:11:00.000Z,2021-12-07T23:41:00.000Z,403,178
67,106,54,2021-12-08T23:07:00.000Z,2021-12-08T23:37:00.000Z,301,166
72,116,54,2021-12-09T23:38:00.000Z,2021-12-10T00:23:00.000Z,316,164
77,109,49,2021-12-10T23:29:00.000Z,2021-12-11T00:34:00.000Z,242,206
72,98,49,2021-12-11T23:35:00.000Z,2021-12-12T02:03:00.000Z,369,146
80,87,73,2021-12-12T22:25:00.000Z,2021-12-13T00:04:00.000Z,359,151
79,79,79,2021-12-13T23:27:00.000Z,2021-12-14T00:12:00.000Z,258,186
66,75,55,2021-12-14T23:25:00.000Z,2021-12-15T00:12:00.000Z,436,188
56,67,48,2021-12-15T23:15:00.000Z,2021-12-15T23:45:00.000Z,379,210
49,55,47,2021-12-16T23:09:00.000Z,2021-12-17T00:20:00.000Z,372,161
76,108,56,2021-12-18T23:42:00.000Z,2021-12-19T00:42:00.000Z,292,196
73,94,55,2021-12-20T00:08:00.000Z,2021-12-20T00:50:00.000Z,343,139
62,86,48,2021-12-21T23:46:00.000Z,2021-12-22T01:01:00.000Z,330,183
75,92,59,2021-12-22T23:48:00.000Z,2021-12-23T00:48:00.000Z,382,133
81,106,71,2021-12-24T23:57:00.000Z,2021-12-25T00:41:00.000Z,372,157
77,100,58,2021-12-25T23:44:00.000Z,2021-12-26T00:59:00.000Z,384,86
83,105,70,2021-12-27T00:16:00.000Z,2021-12-27T01:49:00.000Z,300,216
68,78,57,2021-12-28T00:15:00.000Z,2021-12-28T02:24:00.000Z,318,191
82,115,53,2021-12-29T00:05:00.000Z,2021-12-29T01:04:00.000Z,296,251
86,108,73,2022-01-01T01:35:00.000Z,2022-01-01T05:27:00.000Z,351,95
55,55,55,2022-01-03T01:42:00.000Z,2022-01-03T02:12:00.000Z,218,125
82,111,55,2022-01-03T23:28:00.000Z,2022-01-04T00:28:00.000Z,376,188
76,105,54,2022-01-06T23:59:00.000Z,2022-01-07T00:43:00.000Z,358,151
79,90,70,2022-01-08T23:54:00.000Z,2022-01-09T01:05:00.000Z,301,170
73,85,67,2022-01-10T00:20:00.000Z,2022-01-10T01:00:00.000Z,341,141
