Begin,End,Activity,HRmean,HRmax,HRmin
2022-02-08T09:11:00.000Z, 2022-02-08T09:23:00.000Z, Deep sleep, 52, 60, 48, 
2022-02-08T09:23:00.000Z, 2022-02-08T10:09:00.000Z, Light sleep, 65, 94, 52, 
2022-02-09T01:55:00.000Z, 2022-02-09T02:06:00.000Z, Light sleep, 64, 73, 55, 
2022-02-09T02:06:00.000Z, 2022-02-09T02:19:00.000Z, Deep sleep, 51, 55, 48, 
2022-02-09T02:19:00.000Z, 2022-02-09T02:29:00.000Z, Light sleep, 66, 94, 46, 
2022-02-09T02:29:00.000Z, 2022-02-09T02:55:00.000Z, Deep sleep, 50, 55, 47, 
2022-02-09T02:55:00.000Z, 2022-02-09T03:05:00.000Z, Light sleep, 56, 79, 49, 
2022-02-09T03:05:00.000Z, 2022-02-09T03:17:00.000Z, Deep sleep, 51, 55, 48, 
2022-02-09T03:17:00.000Z, 2022-02-09T03:27:00.000Z, Light sleep, 67, 93, 49, 
2022-02-09T03:27:00.000Z, 2022-02-09T03:55:00.000Z, Deep sleep, 49, 59, 48, 
2022-02-09T03:55:00.000Z, 2022-02-09T04:18:00.000Z, Light sleep, 55, 76, 48, 
2022-02-09T04:18:00.000Z, 2022-02-09T04:28:00.000Z, Deep sleep, 48, 49, 45, 
2022-02-09T04:28:00.000Z, 2022-02-09T05:00:00.000Z, Light sleep, 61, 84, 48, 
2022-02-09T05:00:00.000Z, 2022-02-09T05:44:00.000Z, Deep sleep, 50, 52, 48, 
2022-02-09T05:44:00.000Z, 2022-02-09T05:54:00.000Z, Light sleep, null
2022-02-09T05:54:00.000Z, 2022-02-09T06:12:00.000Z, Deep sleep, 48, 49, 48, 
2022-02-09T06:12:00.000Z, 2022-02-09T06:47:00.000Z, Light sleep, 56, 92, 48, 
2022-02-09T06:47:00.000Z, 2022-02-09T06:57:00.000Z, Deep sleep, 54, 83, 48, 
2022-02-09T06:57:00.000Z, 2022-02-09T07:09:00.000Z, Light sleep, 52, 55, 48, 
2022-02-09T07:09:00.000Z, 2022-02-09T07:31:00.000Z, Deep sleep, 51, 63, 47, 
2022-02-09T07:31:00.000Z, 2022-02-09T07:46:00.000Z, Light sleep, 54, 78, 48, 
