Begin,End,Activity,HRmean,HRmax,HRmin
2022-03-08T19:03:00.000Z, 2022-03-08T19:19:00.000Z, Other,90, 109, 70, 
2022-03-08T19:46:00.000Z, 2022-03-08T19:50:00.000Z, Walking,87, 94, 73, 
2022-03-08T21:04:00.000Z, 2022-03-08T21:09:00.000Z, Walking,92, 100, 88, 
2022-03-08T22:23:00.000Z, 2022-03-08T22:31:00.000Z, Walking,107, 117, 76, 
2022-03-08T22:50:00.000Z, 2022-03-08T23:06:00.000Z, Other,78, 82, 76, 
2022-03-08T23:07:00.000Z, 2022-03-08T23:12:00.000Z, Walking,96, 109, 80, 
2022-03-08T23:48:00.000Z, 2022-03-08T23:54:00.000Z, Walking,93, 103, 80, 
2022-03-09T08:21:00.000Z, 2022-03-09T08:25:00.000Z, Walking,108, 111, 106, 
2022-03-09T08:40:00.000Z, 2022-03-09T08:58:00.000Z, Other,87, 117, 72, 
2022-03-09T12:46:00.000Z, 2022-03-09T13:10:00.000Z, Other,85, 101, 67, 
2022-03-09T18:22:00.000Z, 2022-03-09T18:29:00.000Z, Walking,114, 123, 103, 
2022-03-10T20:34:00.000Z, 2022-03-10T20:38:00.000Z, Walking,92, 104, 84, 
2022-03-11T09:54:00.000Z, 2022-03-11T10:07:00.000Z, Other,87, 106, 75, 
2022-03-11T10:31:00.000Z, 2022-03-11T10:35:00.000Z, Walking,117, 124, 108, 
2022-03-11T12:26:00.000Z, 2022-03-11T13:02:00.000Z, Other,84, 124, 60, 
2022-03-11T16:58:00.000Z, 2022-03-11T17:05:00.000Z, Walking,109, 115, 102, 
2022-03-11T18:07:00.000Z, 2022-03-11T18:13:00.000Z, Walking,90, 98, 88, 
2022-03-11T18:14:00.000Z, 2022-03-11T18:18:00.000Z, Running,137, 172, 116, 
2022-03-11T18:19:00.000Z, 2022-03-11T18:24:00.000Z, Walking,138, 172, 121, 
2022-03-11T19:05:00.000Z, 2022-03-11T19:15:00.000Z, Walking,95, 98, 94, 
2022-03-11T19:28:00.000Z, 2022-03-11T19:45:00.000Z, Other,104, 128, 81, 
2022-03-11T19:47:00.000Z, 2022-03-11T19:51:00.000Z, Walking,105, 107, 104, 
2022-03-13T09:29:00.000Z, 2022-03-13T09:35:00.000Z, Other,98, 114, 82, 
2022-03-13T17:13:00.000Z, 2022-03-13T17:30:00.000Z, Walking,101, 119, 77, 
2022-03-13T17:32:00.000Z, 2022-03-13T17:56:00.000Z, Other,104, 134, 74, 
